EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID,PACKAGE,START_DATE,END_DATE,CURENT_FLAG
198,Donald,OConnell,DOCONNEL,6505079833,21-06-2007,SH_CLERK,2600, - ,124,50,31200,01-12-2022 239963,31-12-9999 000000,Y
199,Douglas,Grant,DGRANT,6505079844,13-01-2008,SH_CLERK,2600, - ,124,50,31200,01-12-2022 239963,31-12-9999 000000,Y
200,Jennifer,Whalen,JWHALEN,5151234444,17-09-2003,AD_ASST,4400, - ,101,10,52800,01-12-2022 239963,31-12-9999 000000,Y
201,Michael,Hartstein,MHARTSTE,5151235555,17-02-2004,MK_MAN,13000, - ,100,20,156000,01-12-2022 239963,31-12-9999 000000,Y
202,Pat,Fay,PFAY,6031236666,17-08-2005,MK_REP,6000, - ,201,20,72000,01-12-2022 239963,31-12-9999 000000,Y
203,Susan,Mavris,SMAVRIS,5151237777,07-06-2002,HR_REP,6500, - ,101,40,78000,01-12-2022 239963,31-12-9999 000000,Y
204,Hermann,Baer,HBAER,5151238888,07-06-2002,PR_REP,10000, - ,101,70,120000,01-12-2022 239963,31-12-9999 000000,Y
205,Shelley,Higgins,SHIGGINS,5151238080,07-06-2002,AC_MGR,12008, - ,101,110,144096,01-12-2022 239963,31-12-9999 000000,Y
206,William,Gietz,WGIETZ,5151238181,07-06-2002,AC_ACCOUNT,8300, - ,205,110,99600,01-12-2022 239963,31-12-9999 000000,Y
100,Steven,King,SKING,5151234567,17-06-2003,AD_PRES,24000, - , 501 ,90,288000,01-12-2022 239963,31-12-9999 000000,Y
101,Neena,Kochhar,NKOCHHAR,5151234568,21-09-2005,AD_VP,17000, - ,100,90,204000,01-12-2022 239963,31-12-9999 000000,Y
102,Lex,De Haan,LDEHAAN,5151234569,13-01-2001,AD_VP,17000, - ,100,90,204000,01-12-2022 239963,31-12-9999 000000,Y
103,Alexander,Hunold,AHUNOLD,5904234567,03-01-2006,IT_PROG,9000, - ,102,60,108000,01-12-2022 239963,31-12-9999 000000,Y
104,Bruce,Ernst,BERNST,5904234568,21-05-2007,IT_PROG,6000, - ,103,60,72000,01-12-2022 239963,31-12-9999 000000,Y
105,David,Austin,DAUSTIN,5904234569,25-06-2005,IT_PROG,4800, - ,103,60,57600,01-12-2022 239963,31-12-9999 000000,Y
106,Valli,Pataballa,VPATABAL,5904234560,05-02-2006,IT_PROG,4800, - ,103,60,57600,01-12-2022 239963,31-12-9999 000000,Y
107,Diana,Lorentz,DLORENTZ,5904235567,07-02-2007,IT_PROG,4200, - ,103,60,50400,01-12-2022 239963,31-12-9999 000000,Y
108,Nancy,Greenberg,NGREENBE,5151244569,17-08-2002,FI_MGR,12008, - ,101,100,144096,01-12-2022 239963,31-12-9999 000000,Y
109,Daniel,Faviet,DFAVIET,5151244169,16-08-2002,FI_ACCOUNT,9000, - ,108,100,108000,01-12-2022 239963,31-12-9999 000000,Y
110,John,Chen,JCHEN,5151244269,28-09-2005,FI_ACCOUNT,8200, - ,108,100,98400,01-12-2022 239963,31-12-9999 000000,Y
111,Ismael,Sciarra,ISCIARRA,5151244369,30-09-2005,FI_ACCOUNT,7700, - ,108,100,92400,01-12-2022 239963,31-12-9999 000000,Y
112,Jose Manuel,Urman,JMURMAN,5151244469,07-03-2006,FI_ACCOUNT,7800, - ,108,100,93600,01-12-2022 239963,31-12-9999 000000,Y
113,Luis,Popp,LPOPP,5151244567,07-12-2007,FI_ACCOUNT,6900, - ,108,100,82800,01-12-2022 239963,31-12-9999 000000,Y
114,Den,Raphaely,DRAPHEAL,5151274561,07-12-2002,PU_MAN,11000, - ,100,30,132000,01-12-2022 239963,31-12-9999 000000,Y
115,Alexander,Khoo,AKHOO,5151274562,18-05-2003,PU_CLERK,3100, - ,114,30,37200,01-12-2022 239963,31-12-9999 000000,Y
116,Shelli,Baida,SBAIDA,5151274563,24-12-2005,PU_CLERK,2900, - ,114,30,34800,01-12-2022 239963,31-12-9999 000000,Y
117,Sigal,Tobias,STOBIAS,5151274564,24-07-2005,PU_CLERK,2800, - ,114,30,33600,01-12-2022 239963,31-12-9999 000000,Y
118,Guy,Himuro,GHIMURO,5151274565,15-11-2006,PU_CLERK,2600, - ,114,30,31200,01-12-2022 239963,31-12-9999 000000,Y
119,Karen,Colmenares,KCOLMENA,5151274566,10-08-2007,PU_CLERK,2500, - ,114,30,30000,01-12-2022 239963,31-12-9999 000000,Y
120,Matthew,Weiss,MWEISS,6501231234,18-07-2004,ST_MAN,8000, - ,100,50,96000,01-12-2022 239963,31-12-9999 000000,Y
121,Adam,Fripp,AFRIPP,6501232234,10-04-2005,ST_MAN,8200, - ,100,50,98400,01-12-2022 239963,31-12-9999 000000,Y
122,Payam,Kaufling,PKAUFLIN,6501233234,01-05-2003,ST_MAN,7900, - ,100,50,94800,01-12-2022 239963,31-12-9999 000000,Y
123,Shanta,Vollman,SVOLLMAN,6501234234,10-10-2005,ST_MAN,6500, - ,100,50,78000,01-12-2022 239963,31-12-9999 000000,Y
124,Kevin,Mourgos,KMOURGOS,6501235234,16-11-2007,ST_MAN,5800, - ,100,50,69600,01-12-2022 239963,31-12-9999 000000,Y
125,Julia,Nayer,JNAYER,6501241214,16-07-2005,ST_CLERK,3200, - ,120,50,38400,01-12-2022 239963,31-12-9999 000000,Y
126,Irene,Mikkilineni,IMIKKILI,6501241224,28-09-2006,ST_CLERK,2700, - ,120,50,32400,01-12-2022 239963,31-12-9999 000000,Y
127,James,Landry,JLANDRY,6501241334,14-01-2007,ST_CLERK,2400, - ,120,50,28800,01-12-2022 239963,31-12-9999 000000,Y
128,Steven,Markle,SMARKLE,6501241434,08-03-2008,ST_CLERK,2200, - ,120,50,26400,01-12-2022 239963,31-12-9999 000000,Y
129,Laura,Bissot,LBISSOT,6501245234,20-08-2005,ST_CLERK,3300, - ,121,50,39600,01-12-2022 239963,31-12-9999 000000,Y
130,Mozhe,Atkinson,MATKINSO,6501246234,30-10-2005,ST_CLERK,2800, - ,121,50,33600,01-12-2022 239963,31-12-9999 000000,Y
131,James,Marlow,JAMRLOW,6501247234,16-02-2005,ST_CLERK,2500, - ,121,50,30000,01-12-2022 239963,31-12-9999 000000,Y
132,TJ,Olson,TJOLSON,6501248234,10-04-2007,ST_CLERK,2100, - ,121,50,25200,01-12-2022 239963,31-12-9999 000000,Y
133,Jason,Mallin,JMALLIN,6501271934,14-06-2004,ST_CLERK,3300, - ,122,50,39600,01-12-2022 239963,31-12-9999 000000,Y
134,Michael,Rogers,MROGERS,6501271834,26-08-2006,ST_CLERK,2900, - ,122,50,34800,01-12-2022 239963,31-12-9999 000000,Y
135,Ki,Gee,KGEE,6501271734,12-12-2007,ST_CLERK,2400, - ,122,50,28800,01-12-2022 239963,31-12-9999 000000,Y
136,Hazel,Philtanker,HPHILTAN,6501271634,06-02-2008,ST_CLERK,2200, - ,122,50,26400,01-12-2022 239963,31-12-9999 000000,Y
137,Renske,Ladwig,RLADWIG,6501211234,14-07-2003,ST_CLERK,3600, - ,123,50,43200,01-12-2022 239963,31-12-9999 000000,Y
